brand,year,model,elem_X,elem_XX,part_name
MERCEDES-BENZ,2020,A250,2.0L L4 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,AMG GT R PRO,4.0L V8 Turbocharged,Brake & Wheel Hub,Rotor
MERCEDES-BENZ,2020,AMG GT 53,3.0L L6 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,AMG GT,4.0L V8 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,A250,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,A220,2.0L L4 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,AMG GT C,4.0L V8 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,AMG GT R PRO,4.0L V8 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,AMG GT 63,4.0L V8 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,E200,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2020,CLA45 AMG,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2020,E300,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2020,CLS450,3.0L L6 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2020,C200,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2020,CLA250,2.0L L4 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,AMG GT 53,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,AMG GT R PRO,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,C63 AMG,4.0L V8 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,G500,4.0L V8 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2020,AMG GT 53,3.0L L6 Turbocharged,Suspension,Suspension Kit
MERCEDES-BENZ,2020,AMG GT,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,AMG GT C,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,E53 AMG,3.0L L6 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2020,C43 AMG,3.0L V6 Turbocharged,Electrical,Battery Cable
